Time,T,Po,U,DD,Ff,RRR
31.01.2022 21:00,1.0,40,52,14,1,0.0
31.01.2022 18:00,3.5,32,44,13,4,0.0
31.01.2022 15:00,6.5,22,26,5,4,0.0
31.01.2022 12:00,6.6,24,28,13,4,0.0
31.01.2022 09:00,2.0,24,44,0,1,0.0
31.01.2022 06:00,-1.2,21,45,8,1,0.0
31.01.2022 03:00,0.1,23,40,12,2,0.0
31.01.2022 00:00,0.0,28,42,14,2,0.0
30.01.2022 21:00,-0.5,35,54,12,1,0.0
30.01.2022 18:00,1.5,43,50,8,1,0.0
30.01.2022 15:00,3.0,51,44,7,1,0.0
30.01.2022 12:00,0.8,68,54,7,1,0.0
30.01.2022 09:00,0.2,78,59,6,1,0.0
30.01.2022 06:00,-0.9,80,59,16,0,3.0
30.01.2022 03:00,-0.3,89,58,4,3,0.0
30.01.2022 00:00,0.9,88,48,13,2,0.0
29.01.2022 21:00,0.7,95,50,8,2,0.0
29.01.2022 18:00,3.8,85,22,5,3,0.0
29.01.2022 15:00,6.7,70,10,5,5,0.0
29.01.2022 12:00,7.5,74,4,5,5,0.0
29.01.2022 09:00,2.7,71,15,12,1,0.0
29.01.2022 06:00,0.9,71,25,14,1,0.0
29.01.2022 03:00,-0.8,77,34,14,1,0.0
29.01.2022 00:00,-0.3,77,31,12,1,0.0
28.01.2022 21:00,1.4,82,19,11,1,0.0
28.01.2022 18:00,2.7,84,12,15,3,0.0
28.01.2022 15:00,4.4,86,16,5,4,0.0
28.01.2022 12:00,-1.3,94,37,6,2,0.0
28.01.2022 09:00,-3.0,97,46,16,0,0.0
28.01.2022 06:00,-4.0,92,54,16,0,0.1
28.01.2022 03:00,-4.9,91,56,16,0,0.0
28.01.2022 00:00,-3.9,93,48,16,0,0.0
27.01.2022 21:00,-4.2,96,55,16,0,0.0
27.01.2022 18:00,-3.4,92,48,16,0,0.0
27.01.2022 15:00,-2.1,82,48,16,0,0.0
27.01.2022 12:00,-2.5,82,52,6,2,0.0
27.01.2022 09:00,-3.8,80,57,4,1,0.0
27.01.2022 06:00,-5.4,71,56,9,1,2.0
27.01.2022 03:00,-3.2,77,56,16,0,0.0
27.01.2022 00:00,-3.0,76,55,6,1,0.0
26.01.2022 21:00,-2.0,73,51,6,1,0.0
26.01.2022 18:00,-1.4,71,45,6,1,0.0
26.01.2022 15:00,0.1,70,38,6,3,0.0
26.01.2022 12:00,1.1,76,28,8,1,0.0
26.01.2022 09:00,-2.3,86,35,11,2,0.0
